symbol,period_end_date,close_price,intrinsic_value,bps,rnoa,MoS,nrShares,reason,eodhd_symbol,max_close_after_buy,max_close_date,max_return,days_to_max,double_date,days_to_double,fetch_status,fetch_error
4MS:PL,2019-03-29,0.0104,1.713705583756345,0.7121102248005802,2.884677419354839,0.9939312796208531,6895000.0,Penman TTM as-of 2019-03-29: value=1.71 >= close=0.01 * (1+MOS 70%),4MS.WAR,8.34,2024-02-09,800.9230769230769,1778,2020-07-08,467.0,ok,
AATC:US,2008-12-31,6.37,15.90790135883241,7.17916456970307,0.3280904786954234,0.5995700591603658,3974000.0,Penman TTM as-of 2008-12-31: value=15.91 >= close=6.37 * (1+MOS 70%),AATC.US,15.19,2010-02-08,1.3846153846153846,404,2009-09-18,261.0,ok,
ACCS:US,2009-06-30,0.1,1.0898809523809525,0.2136904761904761,1.768219178082192,0.9082468596395412,1680000.0,Penman TTM as-of 2009-06-30: value=1.09 >= close=0.10 * (1+MOS 70%),ACCS.US,32.27,2021-11-24,321.7,4530,2009-07-31,31.0,ok,
ACFN:US,2007-09-28,4.6801,76.55484896661369,112.1462639109698,0.0353199925044135,0.9388660540360934,629000.0,Penman TTM as-of 2007-09-28: value=76.55 >= close=4.68 * (1+MOS 70%),ACFN.US,30.58,2025-09-08,5.53404841776885,6555,2012-03-08,1623.0,ok,
ACNT:US,2008-12-31,4.8,8.700463777386856,10.053894130817207,0.0879485645933014,0.4483052716712007,6253000.0,Penman TTM as-of 2008-12-31: value=8.70 >= close=4.80 * (1+MOS 70%),ACNT.US,24.55,2018-08-08,4.114583333333334,3507,2009-08-25,237.0,ok,
ACQ:CA,2008-09-30,3.53,9.017358024691358,7.04237037037037,0.122330324763609,0.6085327886134562,20250000.0,Penman TTM as-of 2008-09-30: value=9.02 >= close=3.53 * (1+MOS 70%),ACQ.TO,90.45,2014-06-06,24.623229461756377,2075,2012-01-25,1212.0,ok,
ACTG:US,2003-03-31,1.21,2.147497581589532,2.0321775876992008,12.172552525704068,0.4365534981863012,19641000.0,Penman TTM as-of 2003-03-31: value=2.15 >= close=1.21 * (1+MOS 70%),ACTG.US,46.47,2011-09-16,37.40495867768595,3091,2003-07-29,120.0,ok,
AEHR:US,2008-08-29,4.37,7.979378498800411,4.444761795955673,0.3178077369847583,0.4523382991974915,8753000.0,Penman TTM as-of 2008-08-29: value=7.98 >= close=4.37 * (1+MOS 70%),AEHR.US,53.69,2023-08-01,11.28604118993135,5450,2021-09-07,4757.0,ok,
AEP:CA,2022-03-31,0.61,1.2767261245622965,0.3370095471822344,0.3974563626459512,0.5222154632348202,66825999.99999999,Penman TTM as-of 2022-03-31: value=1.28 >= close=0.61 * (1+MOS 70%),AEP.V,1.69,2024-04-22,1.7704918032786887,753,2023-05-08,403.0,ok,
AFL:AU,2006-03-31,69.1121,305.70000000000016,975.7,-0.3027652539825668,0.7739218187765785,10000.0,Penman TTM as-of 2006-03-31: value=305.70 >= close=69.11 * (1+MOS 70%),AFL.AU,417.9637,2007-06-29,5.047619736630779,455,2006-11-28,242.0,ok,
AII:CA,2014-03-31,0.8,1.77200032472804,1.1084185744439032,0.1697440273037542,0.5485328141106401,24636000.0,Penman TTM as-of 2014-03-31: value=1.77 >= close=0.80 * (1+MOS 70%),AII.TO,13.99,2025-10-14,16.487499999999997,4215,2025-02-05,3964.0,ok,
AKA:US,2021-09-30,8.56,56.79413362303096,55.52810972297664,0.1075505774495035,0.8492802081141567,7364000.0,Penman TTM as-of 2021-09-30: value=56.79 >= close=8.56 * (1+MOS 70%),AKA.US,30.5,2024-09-12,2.5630841121495322,1078,2024-05-01,944.0,ok,
AKW:FR,2014-09-30,11.15,22.590852997270108,8.448861299128678,0.2884940997619967,0.5064374062658292,26741000.0,Penman TTM as-of 2014-09-30: value=22.59 >= close=11.15 * (1+MOS 70%),AKW.PA,39.39,2017-05-26,2.5327354260089687,969,2016-09-23,724.0,ok,
AMMX:US,2018-06-29,0.025,0.479824794265994,0.064972126360499,0.2322658772874058,0.9478976486860304,15068000.0,Penman TTM as-of 2018-06-29: value=0.48 >= close=0.03 * (1+MOS 70%),AMMX.US,0.8199,2022-05-16,31.795999999999996,1417,2020-12-21,906.0,ok,
AMPG:US,2014-06-30,0.03,0.2757601351351351,-0.0912162162162162,0.6203592814371257,0.8912098009188362,1184000.0,Penman TTM as-of 2014-06-30: value=0.28 >= close=0.03 * (1+MOS 70%),AMPG.US,12.43,2021-04-05,413.33333333333337,2471,2016-11-01,855.0,ok,
AMS:US,2007-09-28,4.0425,8.631124776829994,4.458242412219797,0.1515014261406064,0.5316369413576345,5041000.0,Penman TTM as-of 2007-09-28: value=8.63 >= close=4.04 * (1+MOS 70%),AMS.US,4.75,2017-04-05,0.17501546072974633,3477,,,ok,
AP:US,2008-09-30,25.9,54.011493123772105,21.09312377210216,0.3954506581557532,0.5204724309204365,10180000.0,Penman TTM as-of 2008-09-30: value=54.01 >= close=25.90 * (1+MOS 70%),AP.US,32.6,2009-12-29,0.25868725868725884,455,,,ok,
APPS:US,2008-03-31,5.99,13.340614886731393,16.886037910309756,,0.5509952089271635,4326000.0,Penman TTM as-of 2008-03-31: value=13.34 >= close=5.99 * (1+MOS 70%),APPS.US,94.74,2021-03-01,14.81636060100167,4718,2020-06-30,4474.0,ok,
APT:US,2010-03-31,2.35,4.735258490157906,1.4967769846420074,0.4457381705655497,0.5037229741767202,23115000.0,Penman TTM as-of 2010-03-31: value=4.74 >= close=2.35 * (1+MOS 70%),APT.US,25.25,2020-02-27,9.744680851063828,3620,2014-10-09,1653.0,ok,
ARA:CA,2022-06-30,0.4,0.8949870540409227,1.1905116267627722,-0.2078874863843147,0.5530661609081663,162599000.0,Penman TTM as-of 2022-06-30: value=0.89 >= close=0.40 * (1+MOS 70%),ARA.TO,4.45,2025-10-14,10.124999999999998,1202,2025-04-30,1035.0,ok,
ARG:CA,2004-09-30,1.98,3.988947335462458,0.6776723652075897,1.5245083512931037,0.5036284429234138,63876000.0,Penman TTM as-of 2004-09-30: value=3.99 >= close=1.98 * (1+MOS 70%),ARG.TO,5.59,2026-01-13,1.823232323232323,7775,2025-12-10,7741.0,ok,
ARIS:CA,2009-01-09,0.03,71.57142857142857,24.857142857142858,-0.1555093427933576,0.9995808383233532,7000.0,Penman TTM as-of 2009-01-09: value=71.57 >= close=0.03 * (1+MOS 70%),ARIS.TO,24.95,2026-01-14,830.6666666666666,6214,2010-03-02,417.0,ok,
ASRT:US,2007-09-28,2.05,14.271951117435338,1.6459362182974806,13.943228346456731,0.8563616156521434,11947000.0,Penman TTM as-of 2007-09-28: value=14.27 >= close=2.05 * (1+MOS 70%),ASRT.US,33.28,2015-07-21,15.234146341463417,2853,2008-08-11,318.0,ok,
ASUR:US,2003-01-31,1.62,3.6868175765645814,9.019174434087883,-0.0307069652066061,0.5605966483675239,3755000.0,Penman TTM as-of 2003-01-31: value=3.69 >= close=1.62 * (1+MOS 70%),ASUR.US,19.06,2018-05-10,10.76543209876543,5578,2003-08-12,193.0,ok,
ATEC:US,2010-03-31,6.37,16.06226456902283,51.08553068912032,-0.093272275956518,0.6034183117438509,4513000.0,Penman TTM as-of 2010-03-31: value=16.06 >= close=6.37 * (1+MOS 70%),ATEC.US,22.68,2026-01-08,2.5604395604395602,5762,2020-12-17,3914.0,ok,
ATGN:US,2018-09-28,0.51,1.00635175879397,0.4507738693467337,,0.4932189509847002,24875000.0,Penman TTM as-of 2018-09-28: value=1.01 >= close=0.51 * (1+MOS 70%),ATGN.US,2.75,2020-12-18,4.392156862745098,812,2019-03-12,165.0,ok,
AVIR:US,2021-12-31,8.94,20.573392610516944,8.104884089897388,,0.5654581541680225,87611000.0,Penman TTM as-of 2021-12-31: value=20.57 >= close=8.94 * (1+MOS 70%),AVIR.US,9.19,2022-01-03,0.027964205816554812,3,,,ok,
AVNW:US,2003-03-31,2.07,106.80692925928606,8.167402794873652,1.227343856672942,0.9806192349657874,13811000.0,Penman TTM as-of 2003-03-31: value=106.81 >= close=2.07 * (1+MOS 70%),AVNW.US,83.95,2021-04-06,39.555555555555564,6581,2003-09-04,157.0,ok,
AXL:CA,2002-06-27,0.19,12.500000000000004,29.4,-0.6272240085744909,0.9848,10000.0,Penman TTM as-of 2002-06-27: value=12.50 >= close=0.19 * (1+MOS 70%),AXL.V,1.95,2014-11-20,9.263157894736842,4529,2004-11-04,861.0,ok,
AXTI:US,2011-12-30,4.17,8.105593468194005,4.479923226907141,0.2623543695942812,0.4855404460681506,32824000.0,Penman TTM as-of 2011-12-30: value=8.11 >= close=4.17 * (1+MOS 70%),AXTI.US,25.83,2026-01-08,5.194244604316546,5123,2017-07-27,2036.0,ok,
BBXIA:US,2021-12-31,10.01,22.959977833877225,19.955175173942493,0.1441925960807041,0.564023969342412,16241000.0,Penman TTM as-of 2021-12-31: value=22.96 >= close=10.01 * (1+MOS 70%),BBXIA.US,12.0,2022-02-08,0.19880119880119881,39,,,ok,
BCC:AU,2014-12-31,0.12,0.3617681216893748,0.1380902472877659,0.3490616621983914,0.668295814900364,35303000.0,Penman TTM as-of 2014-12-31: value=0.36 >= close=0.12 * (1+MOS 70%),BCC.AU,0.575,2021-11-09,3.7916666666666665,2505,2015-03-06,65.0,ok,
BEBE:US,2002-06-28,20.29,46.44828767123288,20.60970319634703,0.493713689337276,0.5631701184849848,8760000.0,Penman TTM as-of 2002-06-28: value=46.45 >= close=20.29 * (1+MOS 70%),BEBE.US,42.57,2005-06-02,1.098077870872351,1070,2004-12-23,909.0,ok,
BEW:CA,2004-06-30,0.14,7.129518072289162,29.46385542168675,-0.7592120509849363,0.9803633291085764,166000.0,Penman TTM as-of 2004-06-30: value=7.13 >= close=0.14 * (1+MOS 70%),BEW.V,1.0,2025-07-29,6.142857142857142,7699,2006-01-10,559.0,ok,
BKTI:US,2004-03-31,2.65,4.50816056462285,3.089104543449493,0.1305479061817491,0.4121771037181996,2267000.0,Penman TTM as-of 2004-03-31: value=4.51 >= close=2.65 * (1+MOS 70%),BKTI.US,87.47,2026-01-14,32.00754716981132,7959,2005-10-18,566.0,ok,
BLIN:US,2007-09-28,4.04,1712.571428571429,3267.8571428571427,-0.1831469440832249,0.997640974307641,7000.0,Penman TTM as-of 2007-09-28: value=1712.57 >= close=4.04 * (1+MOS 70%),BLIN.US,12.23,2021-07-06,2.0272277227722775,5030,2021-07-02,5026.0,ok,
BLM:CA,2004-02-27,0.034,0.0985178727114211,0.3844812554489973,-0.0226932668329177,0.6548849557522125,3441000.0,Penman TTM as-of 2004-02-27: value=0.10 >= close=0.03 * (1+MOS 70%),BLM.V,1.7,2025-05-28,48.99999999999999,7761,2012-11-07,3176.0,ok,
BMRA:US,2006-11-30,0.45,1.1256281407035176,1.5540201005025125,0.0843218390804597,0.6002232142857143,796000.0,Penman TTM as-of 2006-11-30: value=1.13 >= close=0.45 * (1+MOS 70%),BMRA.US,16.0,2020-03-19,34.55555555555556,4858,2007-07-30,242.0,ok,
BNED:US,2015-07-31,14.35,333.76854287217253,353.4118884797475,0.0856445387584382,0.9570061340217558,1901000.0,Penman TTM as-of 2015-07-31: value=333.77 >= close=14.35 * (1+MOS 70%),BNED.US,15.27,2015-11-27,0.06411149825783972,119,,,ok,
BOOM:US,2009-03-31,9.16,20.630190930787588,9.43747016706444,0.2192385109223044,0.555990536843262,12570000.0,Penman TTM as-of 2009-03-31: value=20.63 >= close=9.16 * (1+MOS 70%),BOOM.US,75.76,2019-06-05,7.2707423580786035,3718,2009-05-08,38.0,ok,
BOSC:US,2004-03-31,0.135,3.812500000000009,50.33173076923077,-0.0714386959603118,0.9645901639344264,208000.0,Penman TTM as-of 2004-03-31: value=3.81 >= close=0.14 * (1+MOS 70%),BOSC.US,8.4,2013-12-06,61.22222222222222,3537,2010-01-12,2113.0,ok,
BQE:CA,2003-12-31,0.73,50.22328244274809,20.900763358778622,2.460215053763441,0.9854649086142038,262000.0,Penman TTM as-of 2003-12-31: value=50.22 >= close=0.73 * (1+MOS 70%),BQE.V,69.3,2026-01-14,93.93150684931506,8050,2006-04-17,838.0,ok,
BRAG:CA,2006-03-16,0.12,12.428571428571445,125.0,-1.035507066699727,0.990344827586207,7000.0,Penman TTM as-of 2006-03-16: value=12.43 >= close=0.12 * (1+MOS 70%),BRAG.TO,18.7,2021-05-14,154.83333333333331,5538,2007-10-05,568.0,ok,
BRM:CA,2009-09-30,0.47,0.9127902138636932,0.7364566863609886,0.1248068368063685,0.4850952684839092,12017000.0,Penman TTM as-of 2009-09-30: value=0.91 >= close=0.47 * (1+MOS 70%),BRM.V,3.35,2025-01-06,6.127659574468085,5577,2010-03-19,170.0,ok,
BRN:US,2008-12-31,4.45,11.376670644391409,6.753579952267303,0.1582916425298857,0.6088486571250254,8380000.000000001,Penman TTM as-of 2008-12-31: value=11.38 >= close=4.45 * (1+MOS 70%),BRN.US,8.94,2011-01-13,1.0089887640449435,743,2011-01-13,743.0,ok,
BSH:PL,2024-06-28,4.68,14.475266123982465,3.840951784596118,0.6933962264150942,0.6766898819050915,1597000.0,Penman TTM as-of 2024-06-28: value=14.48 >= close=4.68 * (1+MOS 70%),BSH.WAR,22.5,2025-09-04,3.807692307692308,433,2024-08-16,49.0,ok,
BTM:US,2023-06-30,3.23,16.156444696172827,0.3867626830649729,5.28,0.8000797786430619,12359000.0,Penman TTM as-of 2023-06-30: value=16.16 >= close=3.23 * (1+MOS 70%),BTM.US,6.48,2025-06-16,1.0061919504643964,717,2025-06-16,717.0,ok,
BTR:CA,2009-05-29,0.55,28.79816513761469,51.48623853211009,-2.775581395348837,0.98090156100669,109000.0,Penman TTM as-of 2009-05-29: value=28.80 >= close=0.55 * (1+MOS 70%),BTR.V,3.69,2018-11-08,5.709090909090908,3450,2018-11-06,3448.0,ok,
BTV:CA,2008-01-31,0.11,0.2469735465550739,0.1316694066656703,40.6,0.554608169440242,6691000.0,Penman TTM as-of 2008-01-31: value=0.25 >= close=0.11 * (1+MOS 70%),BTV.V,0.25,2012-10-01,1.272727272727273,1705,2012-09-13,1687.0,ok,
BUKS:US,2012-04-30,0.34,0.7768983428147413,0.3993498462951839,0.2254697040864255,0.562362304998408,56602000.0,Penman TTM as-of 2012-04-30: value=0.78 >= close=0.34 * (1+MOS 70%),BUKS.US,3.1,2026-01-08,8.117647058823529,5001,2019-12-10,2780.0,ok,
BURCA:US,2012-12-31,14.25,28.89373857404022,15.742915904936014,0.2480524826344224,0.5068135622711347,4376000.0,Penman TTM as-of 2012-12-31: value=28.89 >= close=14.25 * (1+MOS 70%),BURCA.US,26.5,2025-10-08,0.8596491228070176,4664,,,ok,
BXC:US,2005-06-30,10.58,27.68572257690076,46.40887986070807,0.0912943278201007,0.6178535716157434,3446000.0,Penman TTM as-of 2005-06-30: value=27.69 >= close=10.58 * (1+MOS 70%),BXC.US,131.66,2024-11-25,11.444234404536862,7088,2018-03-12,4638.0,ok,
CAMB:BE,2010-06-29,14.0,31.570808283233134,15.885771543086172,0.1955482308897434,0.5565523734963977,1497000.0,Penman TTM as-of 2010-06-29: value=31.57 >= close=14.00 * (1+MOS 70%),CAMB.BR,285.0,2025-10-14,19.357142857142858,5586,2010-12-17,171.0,ok,
CAPC:US,2003-06-30,0.022,0.4796659965981134,-0.1348384103912169,0.2144636549544525,0.9541347517730496,6467000.0,Penman TTM as-of 2003-06-30: value=0.48 >= close=0.02 * (1+MOS 70%),CAPC.US,2.98,2021-03-11,134.45454545454547,6464,2003-10-23,115.0,ok,
CAWW:US,1998-11-30,1.375,2.524535887430531,1.844625753813409,0.1520361990950226,0.4553454332552693,8457000.0,Penman TTM as-of 1998-11-30: value=2.52 >= close=1.38 * (1+MOS 70%),CAWW.US,13.47,2005-01-28,8.796363636363637,2251,2003-01-10,1502.0,ok,
CDTI:US,2010-12-31,9.49,219.1686390532544,91.20118343195266,1.285988483685221,0.9567000094493716,169000.0,Penman TTM as-of 2010-12-31: value=219.17 >= close=9.49 * (1+MOS 70%),CDTI.US,10.53,2011-01-12,0.10958904109589032,12,,,ok,
CEDER:SE,2022-06-30,20.8,37.97900681093197,12.091818260194843,0.4741742733418486,0.452329016829032,11599000.0,Penman TTM as-of 2022-06-30: value=37.98 >= close=20.80 * (1+MOS 70%),CEDER.ST,48.8,2025-12-30,1.346153846153846,1279,2025-08-29,1156.0,ok,
CFY:CA,2011-09-30,0.13,0.2352290798939795,0.1885043544112078,0.1143401664110073,0.4473472410018672,66025000.00000001,Penman TTM as-of 2011-09-30: value=0.24 >= close=0.13 * (1+MOS 70%),CFY.V,1.14,2018-04-10,7.769230769230767,2384,2012-03-30,182.0,ok,
CHCI:US,2004-12-31,21.97,175.81623931623932,55.48803418803419,0.5696693383128615,0.8750399844437423,1170000.0,Penman TTM as-of 2004-12-31: value=175.82 >= close=21.97 * (1+MOS 70%),CHCI.US,29.7,2005-02-28,0.35184342284934006,59,,,ok,
CHR:CA,2007-03-30,8.19,44.70641522333638,58.612978577939835,0.0,0.8168048151683411,17552000.0,Penman TTM as-of 2007-03-30: value=44.71 >= close=8.19 * (1+MOS 70%),CHR.TO,24.14,2025-11-12,1.9474969474969477,6802,2025-02-10,6527.0,ok,
CMCL:US,2006-09-29,0.108,2.0021348737912845,2.447821172924777,0.0755190729116368,0.9460575801292104,7963000.0,Penman TTM as-of 2006-09-29: value=2.00 >= close=0.11 * (1+MOS 70%),CMCL.US,37.72,2025-10-15,348.2592592592593,6956,2013-04-12,2387.0,ok,
CMD:AU,2017-03-31,0.01,0.0199890930447185,0.0536584911112975,-0.7293340987370838,0.4997271773347325,214542000.0,Penman TTM as-of 2017-03-31: value=0.02 >= close=0.01 * (1+MOS 70%),CMD.AU,0.11,2017-12-13,10.0,257,2017-11-23,237.0,ok,
CMI:CA,2008-11-28,0.2,0.4721090953967666,0.2127607059113908,0.516757560733763,0.5763691020781596,32412000.0,Penman TTM as-of 2008-11-28: value=0.47 >= close=0.20 * (1+MOS 70%),CMI.V,4.32,2021-03-08,20.599999999999998,4483,2011-02-17,811.0,ok,
CMPD:US,1993-09-30,0.1875,2.044245309437132,0.2800336040324839,,0.9082791095890412,3571000.0,Penman TTM as-of 1993-09-30: value=2.04 >= close=0.19 * (1+MOS 70%),CMPD.US,17.3125,1995-10-12,91.33333333333333,742,1993-12-07,68.0,ok,
CODA:US,2014-07-31,0.0822,1.7456406368460953,0.0,0.3039596066967844,0.952911270358306,6595000.0,Penman TTM as-of 2014-07-31: value=1.75 >= close=0.08 * (1+MOS 70%),CODA.US,18.97,2019-05-07,229.7785888077859,1741,2016-06-20,690.0,ok,
COV:CA,2013-12-31,1.1,2.666073738680465,0.6573954290642519,1.0671684401764858,0.5874082610541638,9276000.0,Penman TTM as-of 2013-12-31: value=2.67 >= close=1.10 * (1+MOS 70%),COV.V,9.18,2018-09-04,7.345454545454545,1708,2014-06-18,169.0,ok,
CPH:CA,2004-12-31,1.9,5.313696472048504,1.4756289683486896,0.8993239212567111,0.6424334716906547,20947000.0,Penman TTM as-of 2004-12-31: value=5.31 >= close=1.90 * (1+MOS 70%),CPH.TO,18.99,2024-08-30,8.994736842105263,7182,2006-01-27,392.0,ok,
CPL:PL,2015-06-30,19.8,36.015523632993514,11.36468952734013,0.5149331149331149,0.4502370643901623,2158000.0,Penman TTM as-of 2015-06-30: value=36.02 >= close=19.80 * (1+MOS 70%),CPL.WAR,20.5,2015-08-05,0.03535353535353532,36,,,ok,
CRMT:US,2009-01-30,9.09,29.16520121745012,12.897700371998647,0.2126184497784645,0.6883271974629384,11828000.0,Penman TTM as-of 2009-01-30: value=29.17 >= close=9.09 * (1+MOS 70%),CRMT.US,174.52,2021-05-26,18.1991199119912,4499,2009-06-09,130.0,ok,
CS:SE,2022-03-31,80.0,247.6364491188967,38.69398899491537,0.1955380235799939,0.6769457796514038,71785000.0,Penman TTM as-of 2022-03-31: value=247.64 >= close=80.00 * (1+MOS 70%),CS.ST,168.4,2025-10-31,1.105,1310,2025-10-06,1285.0,ok,
CTE:AU,2019-09-30,0.044,0.1000910470409711,-0.0107233181588265,,0.5604002425712552,49425000.0,Penman TTM as-of 2019-09-30: value=0.10 >= close=0.04 * (1+MOS 70%),CTE.AU,1.3,2025-10-27,28.545454545454547,2219,2020-05-27,240.0,ok,
CTHR:US,2001-12-31,1.56,9.444381384790011,19.340522133938705,0.0275661529514393,0.8348224265368668,1762000.0,Penman TTM as-of 2001-12-31: value=9.44 >= close=1.56 * (1+MOS 70%),CTHR.US,31.99,2005-12-09,19.506410256410255,1439,2002-03-01,60.0,ok,
CTX:CA,2019-06-28,0.75,2.4767410833407455,0.9638441697055946,0.3340810569049748,0.6971827192415427,22486000.0,Penman TTM as-of 2019-06-28: value=2.48 >= close=0.75 * (1+MOS 70%),CTX.TO,1.12,2019-07-16,0.49333333333333346,18,,,ok,
CTZ:CA,2014-10-31,0.08,0.142252437147255,0.0168584622150553,,0.4376194770063119,27286000.0,Penman TTM as-of 2014-10-31: value=0.14 >= close=0.08 * (1+MOS 70%),CTZ.V,1.68,2025-07-02,19.999999999999996,3897,2015-03-30,150.0,ok,
CVEO:US,2014-06-30,25.03,306.4306807935077,148.45096934174933,0.0796509307496003,0.918317578594988,8872000.0,Penman TTM as-of 2014-06-30: value=306.43 >= close=25.03 * (1+MOS 70%),CVEO.US,36.44,2023-02-01,0.45585297642828587,3138,,,ok,
CVU:US,2002-12-31,4.4,9.13596623454929,0.7048537835393428,0.493278019969062,0.5183870116156282,3317000.0,Penman TTM as-of 2002-12-31: value=9.14 >= close=4.40 * (1+MOS 70%),CVU.US,16.4,2012-04-05,2.7272727272727266,3383,2003-07-07,188.0,ok,
CVX:CA,2011-12-30,0.065,0.1285184963843901,0.0906292954042909,0.1410887880751782,0.4942362241339224,33466000.0,Penman TTM as-of 2011-12-30: value=0.13 >= close=0.07 * (1+MOS 70%),CVX.V,0.85,2021-01-25,12.076923076923075,3314,2012-11-13,319.0,ok,
CXDO:US,2002-06-28,0.15,2.560021826118588,0.2568206620589305,3.718,0.9414067495559504,10996000.0,Penman TTM as-of 2002-06-28: value=2.56 >= close=0.15 * (1+MOS 70%),CXDO.US,29.3,2007-01-03,194.33333333333334,1650,2002-07-03,5.0,ok,
CXI:CA,2012-03-30,7.25,13.974567290709995,5.082656305192511,4.440172413793103,0.4812003943177797,2831000.0,Penman TTM as-of 2012-03-30: value=13.97 >= close=7.25 * (1+MOS 70%),CXI.TO,39.3,2015-06-25,4.4206896551724135,1182,2014-06-23,815.0,ok,
CXZ:AU,2023-12-29,0.021,0.0370909384917025,0.008789483258811,1.2531426094495015,0.4338239782016348,939987000.0,Penman TTM as-of 2023-12-29: value=0.04 >= close=0.02 * (1+MOS 70%),CXZ.AU,0.032,2024-06-03,0.5238095238095237,157,,,ok,
DAIO:US,2008-12-31,2.396,4.1830512274408695,2.336060979710795,0.2798013967699694,0.4272123696974569,8921000.0,Penman TTM as-of 2008-12-31: value=4.18 >= close=2.40 * (1+MOS 70%),DAIO.US,15.94,2017-11-27,5.6527545909849755,3253,2010-06-16,532.0,ok,
DB:CA,2019-09-30,0.315,0.8183507853403144,1.5332984293193717,,0.6150794920188094,57300000.0,Penman TTM as-of 2019-09-30: value=0.82 >= close=0.32 * (1+MOS 70%),DB.V,0.395,2019-10-18,0.253968253968254,18,,,ok,
DCM:CA,2006-06-30,9.36,1794.2187499999995,808.15,0.1968811789990789,0.994783244796656,160000.0,Penman TTM as-of 2006-06-30: value=1794.22 >= close=9.36 * (1+MOS 70%),DCM.TO,12.02,2007-07-11,0.28418803418803423,376,,,ok,
DHB:CA,2017-06-30,0.485,4.261524163568773,4.305018587360594,-0.9061606036715846,0.8861909538971519,5380000.0,Penman TTM as-of 2017-06-30: value=4.26 >= close=0.48 * (1+MOS 70%),DHB.V,2.03,2018-01-08,3.185567010309278,192,2017-11-27,150.0,ok,
DHX:US,2007-12-31,7.99,2639.070652173913,1311.1630434782608,0.2147096519767327,0.9969724190622112,92000.0,Penman TTM as-of 2007-12-31: value=2639.07 >= close=7.99 * (1+MOS 70%),DHX.US,18.33,2011-04-29,1.2941176470588232,1215,2011-02-04,1131.0,ok,
DLHC:US,2002-09-30,2.9,1243.5912659470066,15.882973503434744,9.97262809004281,0.9976680440918088,4076000.0,Penman TTM as-of 2002-09-30: value=1243.59 >= close=2.90 * (1+MOS 70%),DLHC.US,21.23,2021-12-30,6.320689655172415,7031,2016-11-30,5175.0,ok,
DR:CA,2019-12-31,4.8,10.696565815111493,6.177662914050661,0.1370918497111752,0.5512578445299858,36952000.0,Penman TTM as-of 2019-12-31: value=10.70 >= close=4.80 * (1+MOS 70%),DR.TO,17.9,2025-02-28,2.7291666666666665,1886,2021-09-07,616.0,ok,
DRX:CA,2008-10-31,1.89,5.133878750303257,2.236029867644284,0.3027201840485012,0.6318572970021238,37097000.0,Penman TTM as-of 2008-10-31: value=5.13 >= close=1.89 * (1+MOS 70%),DRX.TO,20.5,2024-06-11,9.846560846560847,5702,2023-06-29,5354.0,ok,
DSE:AU,2022-12-30,0.18,0.4737854457494244,0.353087750998164,1.1315068493150684,0.6200811957925817,68626000.0,Penman TTM as-of 2022-12-30: value=0.47 >= close=0.18 * (1+MOS 70%),DSE.AU,5.88,2025-05-07,31.666666666666668,859,2023-07-14,196.0,ok,
